Date, Time, Account, Account Type, Activity, Time taken in seconds
2023-03-10,15:42:03,testingamatastudent@test.ac.uk,Student,Booking made,3.14
2023-03-10,15:42:48,testingiopstudent@test.ac.uk,Student,Login to Dashboard,7.77
2023-03-10,15:43:21,testingiopstudent@test.ac.uk,Student,Search for item,4.67
2023-03-10,15:43:25,testingiopstudent@test.ac.uk,Student,Manfrotto 055 Tripod (Standard) look up time,0.07
2023-03-10,15:43:33,testingiopstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,15:44:07,testingiopstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,15:44:12,testingiopstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,15:44:25,testingiopstudent@test.ac.uk,Student,Booking made,3.14
2023-03-10,15:45:14,testingftistudent@test.ac.uk,Student,Login to Dashboard,9.33
2023-03-10,15:45:42,testingftistudent@test.ac.uk,Student,Search for item,3.63
2023-03-10,15:45:44,testingftistudent@test.ac.uk,Student,Bernina - Blind Stitch Foot look up time,0.07
2023-03-10,15:45:52,testingftistudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,15:46:37,testingftistudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,15:46:41,testingftistudent@test.ac.uk,Student,Avalibility Check,0.14
2023-03-10,15:46:52,testingftistudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,15:47:42,testingfcsstudent@test.ac.uk,Student,Login to Dashboard,9.44
2023-03-10,15:48:24,testingfcsstudent@test.ac.uk,Student,Search for item,4.16
2023-03-10,15:48:28,testingfcsstudent@test.ac.uk,Student,Easel look up time,0.06
2023-03-10,15:48:36,testingfcsstudent@test.ac.uk,Student,Basket load time,1.59
2023-03-10,15:49:08,testingfcsstudent@test.ac.uk,Student,Return date and Time Selected,0.16
2023-03-10,15:49:12,testingfcsstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:49:28,testingfcsstudent@test.ac.uk,Student,Booking made,5.18
2023-03-10,15:50:05,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,3.16
2023-03-10,15:50:50,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,8.17
2023-03-10,15:51:14,testinggamesstudent@test.ac.uk,Student,Search for item,3.1
2023-03-10,15:51:17,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-10,15:51:25,testinggamesstudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,15:52:13,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.14
2023-03-10,15:52:17,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:52:30,testinggamesstudent@test.ac.uk,Student,Booking made,3.13
2023-03-10,15:53:17,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,8.05
2023-03-10,15:53:43,testingsoftstudent@test.ac.uk,Student,Search for item,4.12
2023-03-10,15:53:45,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.08
2023-03-10,15:53:51,testingsoftstudent@test.ac.uk,Student,Basket load time,1.11
2023-03-10,15:54:33,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.13
2023-03-10,15:54:35,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.1
2023-03-10,15:54:43,testingsoftstudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,16:22:03,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.72
2023-03-10,16:22:28,testinggamesstudent@test.ac.uk,Student,Search for item,3.15
2023-03-10,16:22:30,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-10,16:22:41,testinggamesstudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,16:23:23,testinggamesstudent@test.ac.uk,Student,Search for item,3.14
2023-03-10,16:28:01,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,9.25
2023-03-10,16:28:40,testinggamesstudent@test.ac.uk,Student,Search for item,5.15
2023-03-10,16:30:24,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,10.03
2023-03-10,16:31:01,testinggamesstudent@test.ac.uk,Student,Search for item,3.13
2023-03-10,16:31:05,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-10,16:31:15,testinggamesstudent@test.ac.uk,Student,Basket load time,1.1
2023-03-10,16:31:48,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,16:31:52,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,16:32:00,testinggamesstudent@test.ac.uk,Student,Booking made,2.63
2023-03-10,16:32:45,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,7.83
2023-03-10,16:33:14,testingsoftstudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,16:33:18,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-10,16:33:25,testingsoftstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,16:34:08,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,16:34:12,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,16:34:24,testingsoftstudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,16:35:13,testingamatastudent@test.ac.uk,Student,Login to Dashboard,7.39
2023-03-10,16:35:43,testingamatastudent@test.ac.uk,Student,Search for item,4.12
2023-03-10,16:35:45,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.06
2023-03-10,16:35:56,testingamatastudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,16:36:39,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,16:36:42,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.09
2023-03-10,16:36:55,testingamatastudent@test.ac.uk,Student,Booking made,3.14
2023-03-10,16:37:42,testingiopstudent@test.ac.uk,Student,Login to Dashboard,8.09
2023-03-10,16:38:14,testingiopstudent@test.ac.uk,Student,Search for item,4.67
2023-03-10,16:38:17,testingiopstudent@test.ac.uk,Student,Manfrotto 055 Tripod (Standard) look up time,0.06
2023-03-10,16:38:28,testingiopstudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,16:39:10,testingiopstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,16:39:13,testingiopstudent@test.ac.uk,Student,Avalibility Check,0.1
2023-03-10,16:39:27,testingiopstudent@test.ac.uk,Student,Booking made,3.18
2023-03-10,16:40:08,testingftistudent@test.ac.uk,Student,Login to Dashboard,7.09
2023-03-10,16:40:37,testingftistudent@test.ac.uk,Student,Search for item,4.16
2023-03-10,16:40:39,testingftistudent@test.ac.uk,Student,Bernina - Blind Stitch Foot look up time,0.06
2023-03-10,16:40:45,testingftistudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,16:41:23,testingftistudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,16:41:27,testingftistudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,16:41:35,testingftistudent@test.ac.uk,Student,Booking made,3.16
2023-03-10,16:42:22,testingfcsstudent@test.ac.uk,Student,Login to Dashboard,9.37
2023-03-10,16:43:07,testingfcsstudent@test.ac.uk,Student,Search for item,4.16
2023-03-10,16:43:11,testingfcsstudent@test.ac.uk,Student,"Female 3.5mm Stereo - Male 1/4"" Stereo Adaptor look up time",0.07
2023-03-10,16:43:18,testingfcsstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,16:43:57,testingfcsstudent@test.ac.uk,Student,Return date and Time Selected,0.13
2023-03-10,16:44:01,testingfcsstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,16:44:11,testingfcsstudent@test.ac.uk,Student,Booking made,5.2
2023-03-10,16:44:55,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,3.14
2023-03-10,16:45:40,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.16
2023-03-10,16:46:10,testinggamesstudent@test.ac.uk,Student,Search for item,3.12
2023-03-10,16:46:12,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.06
2023-03-10,16:46:20,testinggamesstudent@test.ac.uk,Student,Basket load time,1.1
2023-03-10,16:47:01,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,16:47:03,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,16:47:16,testinggamesstudent@test.ac.uk,Student,Booking made,3.17
2023-03-10,16:47:59,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,7.2
2023-03-10,16:48:27,testingsoftstudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,16:48:30,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-10,16:48:41,testingsoftstudent@test.ac.uk,Student,Basket load time,0.58
2023-03-10,16:49:20,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,16:49:24,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,16:49:34,testingsoftstudent@test.ac.uk,Student,Booking made,3.14
2023-03-10,16:50:17,testingamatastudent@test.ac.uk,Student,Login to Dashboard,7.19
2023-03-10,16:50:46,testingamatastudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,16:50:48,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.06
2023-03-10,16:50:59,testingamatastudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,16:51:40,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,16:51:43,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,16:51:54,testingamatastudent@test.ac.uk,Student,Booking made,3.16
2023-03-10,16:52:39,testingiopstudent@test.ac.uk,Student,Login to Dashboard,7.72
2023-03-10,16:53:10,testingiopstudent@test.ac.uk,Student,Search for item,4.64
2023-03-10,16:53:13,testingiopstudent@test.ac.uk,Student,Manfrotto 055 Tripod (Standard) look up time,0.07
2023-03-10,16:53:23,testingiopstudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,16:53:59,testingiopstudent@test.ac.uk,Student,Return date and Time Selected,0.15
2023-03-10,16:54:03,testingiopstudent@test.ac.uk,Student,Avalibility Check,0.09
2023-03-10,16:54:12,testingiopstudent@test.ac.uk,Student,Booking made,3.16
2023-03-10,16:54:56,testingftistudent@test.ac.uk,Student,Login to Dashboard,7.93
2023-03-10,16:55:24,testingftistudent@test.ac.uk,Student,Search for item,4.14
2023-03-10,16:55:27,testingftistudent@test.ac.uk,Student,Bernina - Blind Stitch Foot look up time,0.07
2023-03-10,16:55:37,testingftistudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,16:56:16,testingftistudent@test.ac.uk,Student,Return date and Time Selected,0.14
2023-03-10,16:56:18,testingftistudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,16:56:26,testingftistudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,16:57:12,testingfcsstudent@test.ac.uk,Student,Login to Dashboard,7.36
2023-03-10,16:57:38,testingfcsstudent@test.ac.uk,Student,Search for item,4.14
2023-03-10,16:57:40,testingfcsstudent@test.ac.uk,Student,"Female 3.5mm Stereo - Male 1/4"" Stereo Adaptor look up time",0.07
2023-03-10,16:57:50,testingfcsstudent@test.ac.uk,Student,Basket load time,1.1
2023-03-10,16:58:24,testingfcsstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,16:58:29,testingfcsstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,16:58:42,testingfcsstudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,16:59:21,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,2.8
2023-03-10,17:00:06,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.79
2023-03-10,17:00:32,testinggamesstudent@test.ac.uk,Student,Search for item,3.12
2023-03-10,17:00:35,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-10,17:00:44,testinggamesstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,17:01:18,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,17:01:21,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.09
2023-03-10,17:01:30,testinggamesstudent@test.ac.uk,Student,Booking made,3.18
2023-03-10,17:02:14,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,7.27
2023-03-10,17:02:41,testingsoftstudent@test.ac.uk,Student,Search for item,3.7
2023-03-10,17:02:45,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.08
2023-03-10,17:02:55,testingsoftstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,17:03:32,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,17:03:34,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,17:03:46,testingsoftstudent@test.ac.uk,Student,Booking made,3.13
2023-03-10,17:04:33,testingamatastudent@test.ac.uk,Student,Login to Dashboard,7.67
2023-03-10,17:05:03,testingamatastudent@test.ac.uk,Student,Search for item,4.67
2023-03-10,17:05:05,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.07
2023-03-10,17:05:12,testingamatastudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,17:05:45,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,17:05:48,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,17:05:59,testingamatastudent@test.ac.uk,Student,Booking made,3.68
